file,segment_type,count_A,count_B,diff_B_minus_A,records_A,records_B
context_102495.json,structured,20,20,0,1,1
context_102495.json,root_preamble,1,1,0,1,1
context_102512.json,structured,25,25,0,1,1
context_102512.json,root_preamble,1,1,0,1,1
context_102561.json,structured,39,39,0,1,1
context_102561.json,root_preamble,1,1,0,1,1
context_102595.json,structured,6,6,0,1,1
context_102595.json,root_preamble,1,1,0,1,1
context_102615.json,structured,18,18,0,1,1
context_102615.json,root_preamble,1,1,0,1,1
context_102619.json,structured,24,24,0,1,1
context_102619.json,root_preamble,1,1,0,1,1
context_102623.json,structured,27,27,0,1,1
context_102623.json,root_preamble,1,1,0,1,1
context_102655.json,structured,4,4,0,1,1
context_102655.json,root_preamble,1,1,0,1,1
context_102693.json,structured,7,7,0,1,1
context_102693.json,root_preamble,1,1,0,1,1
context_102713.json,structured,131,131,0,1,1
context_102713.json,root_preamble,1,1,0,1,1
context_102757.json,structured,9,9,0,1,1
context_102757.json,root_preamble,1,1,0,1,1
context_102854.json,structured,12,12,0,1,1
context_102854.json,root_preamble,1,1,0,1,1
context_102856.json,structured,18,18,0,1,1
context_102856.json,root_preamble,1,1,0,1,1
context_102865.json,unstructured_whole,1,1,0,1,1
context_10289.json,structured,6,6,0,1,1
context_10289.json,root_preamble,1,1,0,1,1
context_102896.json,structured,11,11,0,1,1
context_102896.json,root_preamble,1,1,0,1,1
context_102944.json,structured,11,11,0,1,1
context_102944.json,root_preamble,1,1,0,1,1
context_102946.json,structured,6,6,0,1,1
context_102946.json,root_preamble,1,1,0,1,1
context_102948.json,structured,42,42,0,1,1
context_102948.json,root_preamble,1,1,0,1,1
context_102964.json,structured,1,1,0,1,1
context_102964.json,root_preamble,1,1,0,1,1
context_103034.json,structured,5,5,0,1,1
context_103034.json,root_preamble,1,1,0,1,1
context_103038.json,structured,3,3,0,1,1
context_103038.json,root_preamble,1,1,0,1,1
context_10304.json,unstructured_whole,1,1,0,1,1
context_103049.json,structured,8,8,0,1,1
context_103049.json,root_preamble,1,1,0,1,1
context_103064.json,structured,32,32,0,1,1
context_103064.json,root_preamble,1,1,0,1,1
context_10308.json,structured,17,17,0,1,1
context_10308.json,root_preamble,1,1,0,1,1
context_103106.json,structured,54,54,0,1,1
context_103106.json,root_preamble,1,1,0,1,1
context_103125.json,structured,25,25,0,1,1
context_103125.json,root_preamble,1,1,0,1,1
context_103145.json,structured,7,7,0,1,1
context_103145.json,root_preamble,1,1,0,1,1
context_103155.json,unstructured_whole,1,1,0,1,1
context_103162.json,unstructured_whole,1,1,0,1,1
context_103184.json,structured,36,36,0,1,1
context_103184.json,root_preamble,1,1,0,1,1
context_103215.json,structured,20,20,0,1,1
context_103215.json,root_preamble,1,1,0,1,1
context_103264.json,structured,33,33,0,1,1
context_103264.json,root_preamble,1,1,0,1,1
context_103314.json,structured,45,45,0,1,1
context_103314.json,root_preamble,1,1,0,1,1
context_103419.json,structured,3,3,0,1,1
context_103419.json,root_preamble,1,1,0,1,1
context_103461.json,structured,21,21,0,1,1
context_103461.json,root_preamble,1,1,0,1,1
context_103463.json,structured,24,24,0,1,1
context_103463.json,root_preamble,1,1,0,1,1
context_103475.json,structured,8,8,0,1,1
context_103475.json,root_preamble,1,1,0,1,1
context_103488.json,structured,4,4,0,1,1
context_103488.json,root_preamble,1,1,0,1,1
context_103580.json,structured,6,6,0,1,1
context_103580.json,root_preamble,1,1,0,1,1
context_103585.json,structured,19,19,0,1,1
context_103585.json,root_preamble,1,1,0,1,1
context_10360.json,structured,64,64,0,1,1
context_10360.json,root_preamble,1,1,0,1,1
context_103601.json,structured,24,24,0,1,1
context_103601.json,root_preamble,1,1,0,1,1
context_103602.json,structured,6,6,0,1,1
context_103602.json,root_preamble,1,1,0,1,1
context_103678.json,structured,8,8,0,1,1
context_103678.json,root_preamble,1,1,0,1,1
context_103771.json,structured,61,61,0,1,1
context_103771.json,root_preamble,1,1,0,1,1
context_103774.json,structured,60,60,0,1,1
context_103774.json,root_preamble,1,1,0,1,1
context_103777.json,structured,22,22,0,1,1
context_103777.json,root_preamble,1,1,0,1,1
context_103779.json,structured,109,109,0,1,1
context_103779.json,root_preamble,1,1,0,1,1
context_103837.json,structured,10,10,0,1,1
context_103837.json,root_preamble,1,1,0,1,1
context_103864.json,structured,3,3,0,1,1
context_103864.json,root_preamble,1,1,0,1,1
context_103901.json,structured,68,68,0,1,1
context_103901.json,root_preamble,1,1,0,1,1
context_103926.json,structured,58,58,0,1,1
context_103926.json,root_preamble,1,1,0,1,1
context_103990.json,structured,49,49,0,1,1
context_103990.json,root_preamble,1,1,0,1,1
context_104092.json,structured,130,130,0,1,1
context_104092.json,root_preamble,1,1,0,1,1
context_104095.json,structured,6,6,0,1,1
context_104095.json,root_preamble,1,1,0,1,1
context_104102.json,structured,40,40,0,1,1
context_104102.json,root_preamble,1,1,0,1,1
